trade_date,underlier,expiry_date,strike,option_type,instrument_name,filename
2022-11-01,BANKNIFTY,2022-11-03,43000,CE,BANKNIFTY22110343000CE,BANKNIFTY22110343000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43000,PE,BANKNIFTY22110343000PE,BANKNIFTY22110343000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,43100,CE,BANKNIFTY22110343100CE,BANKNIFTY22110343100CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43100,PE,BANKNIFTY22110343100PE,BANKNIFTY22110343100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,43200,CE,BANKNIFTY22110343200CE,BANKNIFTY22110343200CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43200,PE,BANKNIFTY22110343200PE,BANKNIFTY22110343200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,43300,CE,BANKNIFTY22110343300CE,BANKNIFTY22110343300CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43400,CE,BANKNIFTY22110343400CE,BANKNIFTY22110343400CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43500,CE,BANKNIFTY22110343500CE,BANKNIFTY22110343500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43500,PE,BANKNIFTY22110343500PE,BANKNIFTY22110343500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,43600,CE,BANKNIFTY22110343600CE,BANKNIFTY22110343600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43700,CE,BANKNIFTY22110343700CE,BANKNIFTY22110343700CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43700,PE,BANKNIFTY22110343700PE,BANKNIFTY22110343700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,43800,CE,BANKNIFTY22110343800CE,BANKNIFTY22110343800CE.csv
2022-11-01,BANKNIFTY,2022-11-03,43900,CE,BANKNIFTY22110343900CE,BANKNIFTY22110343900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44000,CE,BANKNIFTY22110344000CE,BANKNIFTY22110344000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44000,PE,BANKNIFTY22110344000PE,BANKNIFTY22110344000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,44100,CE,BANKNIFTY22110344100CE,BANKNIFTY22110344100CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44200,CE,BANKNIFTY22110344200CE,BANKNIFTY22110344200CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44300,CE,BANKNIFTY22110344300CE,BANKNIFTY22110344300CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44400,CE,BANKNIFTY22110344400CE,BANKNIFTY22110344400CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44500,CE,BANKNIFTY22110344500CE,BANKNIFTY22110344500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,44500,PE,BANKNIFTY22110344500PE,BANKNIFTY22110344500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,44600,CE,BANKNIFTY22110344600CE,BANKNIFTY22110344600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,45000,CE,BANKNIFTY22110345000CE,BANKNIFTY22110345000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,45500,CE,BANKNIFTY22110345500CE,BANKNIFTY22110345500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,46000,CE,BANKNIFTY22110346000CE,BANKNIFTY22110346000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,46500,CE,BANKNIFTY22110346500CE,BANKNIFTY22110346500CE.csv
2022-11-01,NIFTY,2022-11-03,14550,PE,NIFTY22110314550PE,NIFTY22110314550PE.csv
2022-11-01,NIFTY,2022-11-03,14600,PE,NIFTY22110314600PE,NIFTY22110314600PE.csv
2022-11-01,NIFTY,2022-11-03,14650,PE,NIFTY22110314650PE,NIFTY22110314650PE.csv
2022-11-01,NIFTY,2022-11-03,14700,PE,NIFTY22110314700PE,NIFTY22110314700PE.csv
2022-11-01,NIFTY,2022-11-03,14750,PE,NIFTY22110314750PE,NIFTY22110314750PE.csv
2022-11-01,NIFTY,2022-11-03,14800,PE,NIFTY22110314800PE,NIFTY22110314800PE.csv
2022-11-01,NIFTY,2022-11-03,14850,PE,NIFTY22110314850PE,NIFTY22110314850PE.csv
2022-11-01,NIFTY,2022-11-03,14900,PE,NIFTY22110314900PE,NIFTY22110314900PE.csv
2022-11-01,NIFTY,2022-11-03,14950,PE,NIFTY22110314950PE,NIFTY22110314950PE.csv
2022-11-01,NIFTY,2022-11-03,15000,CE,NIFTY22110315000CE,NIFTY22110315000CE.csv
2022-11-01,NIFTY,2022-11-03,15000,PE,NIFTY22110315000PE,NIFTY22110315000PE.csv
2022-11-01,NIFTY,2022-11-03,15050,PE,NIFTY22110315050PE,NIFTY22110315050PE.csv
2022-11-01,NIFTY,2022-11-03,15100,PE,NIFTY22110315100PE,NIFTY22110315100PE.csv
2022-11-01,NIFTY,2022-11-03,15150,PE,NIFTY22110315150PE,NIFTY22110315150PE.csv
2022-11-01,NIFTY,2022-11-03,15200,PE,NIFTY22110315200PE,NIFTY22110315200PE.csv
2022-11-01,NIFTY,2022-11-03,15250,PE,NIFTY22110315250PE,NIFTY22110315250PE.csv
2022-11-01,NIFTY,2022-11-03,15300,PE,NIFTY22110315300PE,NIFTY22110315300PE.csv
2022-11-01,NIFTY,2022-11-03,15350,PE,NIFTY22110315350PE,NIFTY22110315350PE.csv
2022-11-01,NIFTY,2022-11-03,15400,PE,NIFTY22110315400PE,NIFTY22110315400PE.csv
2022-11-01,NIFTY,2022-11-03,15450,PE,NIFTY22110315450PE,NIFTY22110315450PE.csv
2022-11-01,NIFTY,2022-11-03,15500,PE,NIFTY22110315500PE,NIFTY22110315500PE.csv
2022-11-01,NIFTY,2022-11-03,15550,PE,NIFTY22110315550PE,NIFTY22110315550PE.csv
2022-11-01,NIFTY,2022-11-03,15600,PE,NIFTY22110315600PE,NIFTY22110315600PE.csv
2022-11-01,NIFTY,2022-11-03,15650,PE,NIFTY22110315650PE,NIFTY22110315650PE.csv
2022-11-01,NIFTY,2022-11-03,15700,PE,NIFTY22110315700PE,NIFTY22110315700PE.csv
2022-11-01,NIFTY,2022-11-03,15750,PE,NIFTY22110315750PE,NIFTY22110315750PE.csv
2022-11-01,NIFTY,2022-11-03,15800,PE,NIFTY22110315800PE,NIFTY22110315800PE.csv
2022-11-01,NIFTY,2022-11-03,15850,PE,NIFTY22110315850PE,NIFTY22110315850PE.csv
2022-11-01,NIFTY,2022-11-03,15900,PE,NIFTY22110315900PE,NIFTY22110315900PE.csv
2022-11-01,NIFTY,2022-11-03,15950,PE,NIFTY22110315950PE,NIFTY22110315950PE.csv
2022-11-01,NIFTY,2022-11-03,16000,CE,NIFTY22110316000CE,NIFTY22110316000CE.csv
2022-11-01,NIFTY,2022-11-03,16000,PE,NIFTY22110316000PE,NIFTY22110316000PE.csv
2022-11-01,NIFTY,2022-11-03,16050,PE,NIFTY22110316050PE,NIFTY22110316050PE.csv
2022-11-01,NIFTY,2022-11-03,16100,PE,NIFTY22110316100PE,NIFTY22110316100PE.csv
2022-11-01,NIFTY,2022-11-03,16150,PE,NIFTY22110316150PE,NIFTY22110316150PE.csv
2022-11-01,NIFTY,2022-11-03,16200,PE,NIFTY22110316200PE,NIFTY22110316200PE.csv
2022-11-01,NIFTY,2022-11-03,16250,PE,NIFTY22110316250PE,NIFTY22110316250PE.csv
2022-11-01,NIFTY,2022-11-03,16300,PE,NIFTY22110316300PE,NIFTY22110316300PE.csv
2022-11-01,NIFTY,2022-11-03,16350,PE,NIFTY22110316350PE,NIFTY22110316350PE.csv
2022-11-01,NIFTY,2022-11-03,16400,CE,NIFTY22110316400CE,NIFTY22110316400CE.csv
2022-11-01,NIFTY,2022-11-03,16400,PE,NIFTY22110316400PE,NIFTY22110316400PE.csv
2022-11-01,NIFTY,2022-11-03,16450,PE,NIFTY22110316450PE,NIFTY22110316450PE.csv
2022-11-01,NIFTY,2022-11-03,16500,CE,NIFTY22110316500CE,NIFTY22110316500CE.csv
2022-11-01,NIFTY,2022-11-03,16500,PE,NIFTY22110316500PE,NIFTY22110316500PE.csv
2022-11-01,NIFTY,2022-11-03,16550,PE,NIFTY22110316550PE,NIFTY22110316550PE.csv
2022-11-01,NIFTY,2022-11-03,16600,CE,NIFTY22110316600CE,NIFTY22110316600CE.csv
2022-11-01,NIFTY,2022-11-03,16600,PE,NIFTY22110316600PE,NIFTY22110316600PE.csv
2022-11-01,NIFTY,2022-11-03,16650,PE,NIFTY22110316650PE,NIFTY22110316650PE.csv
2022-11-01,NIFTY,2022-11-03,16700,CE,NIFTY22110316700CE,NIFTY22110316700CE.csv
2022-11-01,NIFTY,2022-11-03,16700,PE,NIFTY22110316700PE,NIFTY22110316700PE.csv
2022-11-01,NIFTY,2022-11-03,16750,PE,NIFTY22110316750PE,NIFTY22110316750PE.csv
2022-11-01,NIFTY,2022-11-03,16800,CE,NIFTY22110316800CE,NIFTY22110316800CE.csv
