trade_date,filename,underlier,expiry_date,strike,option_type,instrument_name,parse_status,failure_reason
2022-11-01,BANKNIFTY22110339800CE.csv,BANKNIFTY,2022-11-03,39800,CE,BANKNIFTY22110339800CE,OK,None
2022-11-01,BANKNIFTY22110339800PE.csv,BANKNIFTY,2022-11-03,39800,PE,BANKNIFTY22110339800PE,OK,None
2022-11-01,BANKNIFTY22110339900CE.csv,BANKNIFTY,2022-11-03,39900,CE,BANKNIFTY22110339900CE,OK,None
2022-11-01,BANKNIFTY22110339900PE.csv,BANKNIFTY,2022-11-03,39900,PE,BANKNIFTY22110339900PE,OK,None
2022-11-01,BANKNIFTY22110340000CE.csv,BANKNIFTY,2022-11-03,40000,CE,BANKNIFTY22110340000CE,OK,None
2022-11-01,BANKNIFTY22110340000PE.csv,BANKNIFTY,2022-11-03,40000,PE,BANKNIFTY22110340000PE,OK,None
2022-11-01,BANKNIFTY22110340100CE.csv,BANKNIFTY,2022-11-03,40100,CE,BANKNIFTY22110340100CE,OK,None
2022-11-01,BANKNIFTY22110340100PE.csv,BANKNIFTY,2022-11-03,40100,PE,BANKNIFTY22110340100PE,OK,None
2022-11-01,BANKNIFTY22110340200CE.csv,BANKNIFTY,2022-11-03,40200,CE,BANKNIFTY22110340200CE,OK,None
2022-11-01,BANKNIFTY22110340200PE.csv,BANKNIFTY,2022-11-03,40200,PE,BANKNIFTY22110340200PE,OK,None
2022-11-01,BANKNIFTY22110340300CE.csv,BANKNIFTY,2022-11-03,40300,CE,BANKNIFTY22110340300CE,OK,None
2022-11-01,BANKNIFTY22110340300PE.csv,BANKNIFTY,2022-11-03,40300,PE,BANKNIFTY22110340300PE,OK,None
2022-11-01,BANKNIFTY22110340400CE.csv,BANKNIFTY,2022-11-03,40400,CE,BANKNIFTY22110340400CE,OK,None
2022-11-01,BANKNIFTY22110340400PE.csv,BANKNIFTY,2022-11-03,40400,PE,BANKNIFTY22110340400PE,OK,None
2022-11-01,BANKNIFTY22110340500CE.csv,BANKNIFTY,2022-11-03,40500,CE,BANKNIFTY22110340500CE,OK,None
2022-11-01,BANKNIFTY22110340500PE.csv,BANKNIFTY,2022-11-03,40500,PE,BANKNIFTY22110340500PE,OK,None
2022-11-01,BANKNIFTY22110340600CE.csv,BANKNIFTY,2022-11-03,40600,CE,BANKNIFTY22110340600CE,OK,None
2022-11-01,BANKNIFTY22110340600PE.csv,BANKNIFTY,2022-11-03,40600,PE,BANKNIFTY22110340600PE,OK,None
2022-11-01,BANKNIFTY22110340700CE.csv,BANKNIFTY,2022-11-03,40700,CE,BANKNIFTY22110340700CE,OK,None
2022-11-01,BANKNIFTY22110340700PE.csv,BANKNIFTY,2022-11-03,40700,PE,BANKNIFTY22110340700PE,OK,None
2022-11-01,BANKNIFTY22110340800CE.csv,BANKNIFTY,2022-11-03,40800,CE,BANKNIFTY22110340800CE,OK,None
2022-11-01,BANKNIFTY22110340800PE.csv,BANKNIFTY,2022-11-03,40800,PE,BANKNIFTY22110340800PE,OK,None
2022-11-01,BANKNIFTY22110340900CE.csv,BANKNIFTY,2022-11-03,40900,CE,BANKNIFTY22110340900CE,OK,None
2022-11-01,BANKNIFTY22110340900PE.csv,BANKNIFTY,2022-11-03,40900,PE,BANKNIFTY22110340900PE,OK,None
2022-11-01,BANKNIFTY22110341000CE.csv,BANKNIFTY,2022-11-03,41000,CE,BANKNIFTY22110341000CE,OK,None
2022-11-01,BANKNIFTY22110341000PE.csv,BANKNIFTY,2022-11-03,41000,PE,BANKNIFTY22110341000PE,OK,None
2022-11-01,BANKNIFTY22110341100CE.csv,BANKNIFTY,2022-11-03,41100,CE,BANKNIFTY22110341100CE,OK,None
2022-11-01,BANKNIFTY22110341100PE.csv,BANKNIFTY,2022-11-03,41100,PE,BANKNIFTY22110341100PE,OK,None
2022-11-01,BANKNIFTY22110341200CE.csv,BANKNIFTY,2022-11-03,41200,CE,BANKNIFTY22110341200CE,OK,None
2022-11-01,BANKNIFTY22110341200PE.csv,BANKNIFTY,2022-11-03,41200,PE,BANKNIFTY22110341200PE,OK,None
2022-11-01,BANKNIFTY22110341300CE.csv,BANKNIFTY,2022-11-03,41300,CE,BANKNIFTY22110341300CE,OK,None
2022-11-01,BANKNIFTY22110341300PE.csv,BANKNIFTY,2022-11-03,41300,PE,BANKNIFTY22110341300PE,OK,None
2022-11-01,BANKNIFTY22110341400CE.csv,BANKNIFTY,2022-11-03,41400,CE,BANKNIFTY22110341400CE,OK,None
2022-11-01,BANKNIFTY22110341400PE.csv,BANKNIFTY,2022-11-03,41400,PE,BANKNIFTY22110341400PE,OK,None
2022-11-01,BANKNIFTY22110341500CE.csv,BANKNIFTY,2022-11-03,41500,CE,BANKNIFTY22110341500CE,OK,None
2022-11-01,BANKNIFTY22110341500PE.csv,BANKNIFTY,2022-11-03,41500,PE,BANKNIFTY22110341500PE,OK,None
2022-11-01,BANKNIFTY22110341600CE.csv,BANKNIFTY,2022-11-03,41600,CE,BANKNIFTY22110341600CE,OK,None
2022-11-01,BANKNIFTY22110341600PE.csv,BANKNIFTY,2022-11-03,41600,PE,BANKNIFTY22110341600PE,OK,None
2022-11-01,BANKNIFTY22110341700CE.csv,BANKNIFTY,2022-11-03,41700,CE,BANKNIFTY22110341700CE,OK,None
2022-11-01,BANKNIFTY22110341700PE.csv,BANKNIFTY,2022-11-03,41700,PE,BANKNIFTY22110341700PE,OK,None
2022-11-01,BANKNIFTY22110341800CE.csv,BANKNIFTY,2022-11-03,41800,CE,BANKNIFTY22110341800CE,OK,None
2022-11-01,BANKNIFTY22110341800PE.csv,BANKNIFTY,2022-11-03,41800,PE,BANKNIFTY22110341800PE,OK,None
2022-11-01,BANKNIFTY22110341900CE.csv,BANKNIFTY,2022-11-03,41900,CE,BANKNIFTY22110341900CE,OK,None
2022-11-01,BANKNIFTY22110341900PE.csv,BANKNIFTY,2022-11-03,41900,PE,BANKNIFTY22110341900PE,OK,None
2022-11-01,BANKNIFTY22110342000CE.csv,BANKNIFTY,2022-11-03,42000,CE,BANKNIFTY22110342000CE,OK,None
2022-11-01,BANKNIFTY22110342000PE.csv,BANKNIFTY,2022-11-03,42000,PE,BANKNIFTY22110342000PE,OK,None
2022-11-01,BANKNIFTY22110342100CE.csv,BANKNIFTY,2022-11-03,42100,CE,BANKNIFTY22110342100CE,OK,None
2022-11-01,BANKNIFTY22110342100PE.csv,BANKNIFTY,2022-11-03,42100,PE,BANKNIFTY22110342100PE,OK,None
2022-11-01,BANKNIFTY22110342200CE.csv,BANKNIFTY,2022-11-03,42200,CE,BANKNIFTY22110342200CE,OK,None
2022-11-01,BANKNIFTY22110342200PE.csv,BANKNIFTY,2022-11-03,42200,PE,BANKNIFTY22110342200PE,OK,None
2022-11-01,BANKNIFTY22110342300CE.csv,BANKNIFTY,2022-11-03,42300,CE,BANKNIFTY22110342300CE,OK,None
2022-11-01,BANKNIFTY22110342300PE.csv,BANKNIFTY,2022-11-03,42300,PE,BANKNIFTY22110342300PE,OK,None
2022-11-01,BANKNIFTY22110342400CE.csv,BANKNIFTY,2022-11-03,42400,CE,BANKNIFTY22110342400CE,OK,None
2022-11-01,BANKNIFTY22110342400PE.csv,BANKNIFTY,2022-11-03,42400,PE,BANKNIFTY22110342400PE,OK,None
2022-11-01,BANKNIFTY22110342500CE.csv,BANKNIFTY,2022-11-03,42500,CE,BANKNIFTY22110342500CE,OK,None
2022-11-01,BANKNIFTY22110342500PE.csv,BANKNIFTY,2022-11-03,42500,PE,BANKNIFTY22110342500PE,OK,None
2022-11-01,BANKNIFTY22110342600CE.csv,BANKNIFTY,2022-11-03,42600,CE,BANKNIFTY22110342600CE,OK,None
2022-11-01,BANKNIFTY22110342600PE.csv,BANKNIFTY,2022-11-03,42600,PE,BANKNIFTY22110342600PE,OK,None
2022-11-01,BANKNIFTY22110342700CE.csv,BANKNIFTY,2022-11-03,42700,CE,BANKNIFTY22110342700CE,OK,None
2022-11-01,BANKNIFTY22110342700PE.csv,BANKNIFTY,2022-11-03,42700,PE,BANKNIFTY22110342700PE,OK,None
2022-11-01,BANKNIFTY22110342800CE.csv,BANKNIFTY,2022-11-03,42800,CE,BANKNIFTY22110342800CE,OK,None
2022-11-01,BANKNIFTY22110342800PE.csv,BANKNIFTY,2022-11-03,42800,PE,BANKNIFTY22110342800PE,OK,None
2022-11-01,BANKNIFTY22110342900CE.csv,BANKNIFTY,2022-11-03,42900,CE,BANKNIFTY22110342900CE,OK,None
