trade_date,timestamp,underlier,expiry,strike,option_type,instrument_name,direction,price,quantity,reason
2022-11-14,2022-11-14 09:16:05,BANKNIFTY,2022-11-17,37000,PE,BANKNIFTY22111737000PE,BUY,2.75,1,ENTRY
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,2022-11-17,37000,CE,BANKNIFTY22111737000CE,SELL,5234.7,1,SQUAREOFF
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,2022-11-17,37000,PE,BANKNIFTY22111737000PE,SELL,2.35,1,SQUAREOFF
2022-11-15,2022-11-15 09:46:59,NIFTY,2022-11-17,16500,CE,NIFTY22111716500CE,BUY,1830.0,1,ENTRY
2022-11-15,2022-11-15 09:46:59,NIFTY,2022-11-17,16500,PE,NIFTY22111716500PE,BUY,0.8,1,ENTRY
2022-11-15,2022-11-15 15:29:59,NIFTY,2022-11-17,16500,CE,NIFTY22111716500CE,SELL,1855.4,1,SQUAREOFF
2022-11-15,2022-11-15 15:29:59,NIFTY,2022-11-17,16500,PE,NIFTY22111716500PE,SELL,0.9,1,SQUAREOFF
2022-11-15,2022-11-15 09:18:51,BANKNIFTY,2022-11-17,47000,CE,BANKNIFTY22111747000CE,BUY,3.4,1,ENTRY
2022-11-15,2022-11-15 09:18:51,BANKNIFTY,2022-11-17,47000,PE,BANKNIFTY22111747000PE,BUY,4761.65,1,ENTRY
2022-11-15,2022-11-15 15:22:55,BANKNIFTY,2022-11-17,47000,CE,BANKNIFTY22111747000CE,SELL,2.2,1,ROLL
2022-11-15,2022-11-15 15:22:55,BANKNIFTY,2022-11-17,47000,PE,BANKNIFTY22111747000PE,SELL,4761.65,1,ROLL
2022-11-15,2022-11-15 15:22:55,BANKNIFTY,2022-11-17,38000,CE,BANKNIFTY22111738000CE,BUY,4260.0,1,ROLL
2022-11-15,2022-11-15 15:22:55,BANKNIFTY,2022-11-17,38000,PE,BANKNIFTY22111738000PE,BUY,3.25,1,ROLL
2022-11-15,2022-11-15 15:29:59,BANKNIFTY,2022-11-17,38000,CE,BANKNIFTY22111738000CE,SELL,4400.0,1,SQUAREOFF
2022-11-15,2022-11-15 15:29:59,BANKNIFTY,2022-11-17,38000,PE,BANKNIFTY22111738000PE,SELL,2.7,1,SQUAREOFF
2022-11-16,2022-11-16 12:09:10,NIFTY,2022-11-17,16350,CE,NIFTY22111716350CE,BUY,2049.0,1,ENTRY
2022-11-16,2022-11-16 12:09:10,NIFTY,2022-11-17,16350,PE,NIFTY22111716350PE,BUY,1.1,1,ENTRY
2022-11-16,2022-11-16 15:29:59,NIFTY,2022-11-17,16350,CE,NIFTY22111716350CE,SELL,2048.0,1,SQUAREOFF
2022-11-16,2022-11-16 15:29:59,NIFTY,2022-11-17,16350,PE,NIFTY22111716350PE,SELL,0.25,1,SQUAREOFF
2022-11-16,2022-11-16 10:48:34,BANKNIFTY,2022-11-17,37500,CE,BANKNIFTY22111737500CE,BUY,4990.0,1,ENTRY
