trade_date,timestamp,underlier,expiry,strike,option_type,instrument_name,direction,price,quantity,reason
2022-11-14,2022-11-14 15:29:59,NIFTY,2022-11-17,18450,PE,NIFTY22111718450PE,SELL,163.2,1,SQUAREOFF
2022-11-14,2022-11-14 09:15:01,BANKNIFTY,2022-11-17,42300,CE,BANKNIFTY22111742300CE,BUY,228.6,1,ENTRY
2022-11-14,2022-11-14 09:15:01,BANKNIFTY,2022-11-17,42300,PE,BANKNIFTY22111742300PE,BUY,335.45,1,ENTRY
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,2022-11-17,42300,CE,BANKNIFTY22111742300CE,SELL,160.75,1,SQUAREOFF
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,2022-11-17,42300,PE,BANKNIFTY22111742300PE,SELL,352.1,1,SQUAREOFF
2022-11-15,2022-11-15 09:15:00,NIFTY,2022-11-17,18400,CE,NIFTY22111718400CE,BUY,73.0,1,ENTRY
2022-11-15,2022-11-15 09:15:00,NIFTY,2022-11-17,18400,PE,NIFTY22111718400PE,BUY,94.3,1,ENTRY
2022-11-15,2022-11-15 15:29:59,NIFTY,2022-11-17,18400,CE,NIFTY22111718400CE,SELL,89.15,1,SQUAREOFF
2022-11-15,2022-11-15 15:29:59,NIFTY,2022-11-17,18400,PE,NIFTY22111718400PE,SELL,48.85,1,SQUAREOFF
2022-11-15,2022-11-15 09:15:00,BANKNIFTY,2022-11-17,42300,CE,BANKNIFTY22111742300CE,BUY,186.4,1,ENTRY
2022-11-15,2022-11-15 09:15:00,BANKNIFTY,2022-11-17,42300,PE,BANKNIFTY22111742300PE,BUY,279.0,1,ENTRY
2022-11-15,2022-11-15 15:29:59,BANKNIFTY,2022-11-17,42300,CE,BANKNIFTY22111742300CE,SELL,295.0,1,SQUAREOFF
2022-11-15,2022-11-15 15:29:59,BANKNIFTY,2022-11-17,42300,PE,BANKNIFTY22111742300PE,SELL,140.0,1,SQUAREOFF
2022-11-16,2022-11-16 09:15:00,NIFTY,2022-11-17,18450,CE,NIFTY22111718450CE,BUY,42.25,1,ENTRY
2022-11-16,2022-11-16 09:15:00,NIFTY,2022-11-17,18450,PE,NIFTY22111718450PE,BUY,75.75,1,ENTRY
2022-11-16,2022-11-16 15:29:59,NIFTY,2022-11-17,18450,CE,NIFTY22111718450CE,SELL,31.95,1,SQUAREOFF
2022-11-16,2022-11-16 15:29:59,NIFTY,2022-11-17,18450,PE,NIFTY22111718450PE,SELL,79.0,1,SQUAREOFF
2022-11-16,2022-11-16 09:15:01,BANKNIFTY,2022-11-17,42500,CE,BANKNIFTY22111742500CE,BUY,121.5,1,ENTRY
2022-11-16,2022-11-16 09:15:01,BANKNIFTY,2022-11-17,42500,PE,BANKNIFTY22111742500PE,BUY,238.3,1,ENTRY
2022-11-16,2022-11-16 15:29:59,BANKNIFTY,2022-11-17,42500,CE,BANKNIFTY22111742500CE,SELL,140.3,1,SQUAREOFF
2022-11-16,2022-11-16 15:29:59,BANKNIFTY,2022-11-17,42500,PE,BANKNIFTY22111742500PE,SELL,145.5,1,SQUAREOFF
2022-11-17,2022-11-17 09:15:00,NIFTY,2022-11-17,18400,CE,NIFTY22111718400CE,BUY,24.05,1,ENTRY
2022-11-17,2022-11-17 09:15:00,NIFTY,2022-11-17,18400,PE,NIFTY22111718400PE,BUY,67.2,1,ENTRY
2022-11-17,2022-11-17 15:29:59,NIFTY,2022-11-17,18400,CE,NIFTY22111718400CE,SELL,0.05,1,SQUAREOFF
2022-11-17,2022-11-17 15:29:59,NIFTY,2022-11-17,18400,PE,NIFTY22111718400PE,SELL,56.0,1,SQUAREOFF
2022-11-17,2022-11-17 09:15:00,BANKNIFTY,2022-11-17,42500,CE,BANKNIFTY22111742500CE,BUY,79.5,1,ENTRY
2022-11-17,2022-11-17 09:15:00,BANKNIFTY,2022-11-17,42500,PE,BANKNIFTY22111742500PE,BUY,155.7,1,ENTRY
2022-11-17,2022-11-17 15:29:59,BANKNIFTY,2022-11-17,42500,CE,BANKNIFTY22111742500CE,SELL,0.05,1,SQUAREOFF
2022-11-17,2022-11-17 15:29:59,BANKNIFTY,2022-11-17,42500,PE,BANKNIFTY22111742500PE,SELL,42.5,1,SQUAREOFF
2022-11-18,2022-11-18 09:15:00,NIFTY,2022-11-24,18400,CE,NIFTY22112418400CE,BUY,114.65,1,ENTRY
2022-11-18,2022-11-18 09:15:00,NIFTY,2022-11-24,18400,PE,NIFTY22112418400PE,BUY,106.75,1,ENTRY
2022-11-18,2022-11-18 15:29:59,NIFTY,2022-11-24,18400,CE,NIFTY22112418400CE,SELL,68.5,1,SQUAREOFF
2022-11-18,2022-11-18 15:29:59,NIFTY,2022-11-24,18400,PE,NIFTY22112418400PE,SELL,123.15,1,SQUAREOFF
2022-11-18,2022-11-18 09:15:00,BANKNIFTY,2022-11-24,42600,CE,BANKNIFTY22112442600CE,BUY,294.0,1,ENTRY
2022-11-18,2022-11-18 09:15:00,BANKNIFTY,2022-11-24,42600,PE,BANKNIFTY22112442600PE,BUY,322.6,1,ENTRY
2022-11-18,2022-11-18 15:29:59,BANKNIFTY,2022-11-24,42600,CE,BANKNIFTY22112442600CE,SELL,226.45,1,SQUAREOFF
2022-11-18,2022-11-18 15:29:59,BANKNIFTY,2022-11-24,42600,PE,BANKNIFTY22112442600PE,SELL,315.0,1,SQUAREOFF
2022-11-21,2022-11-21 09:15:00,NIFTY,2022-11-24,18250,CE,NIFTY22112418250CE,BUY,120.9,1,ENTRY
2022-11-21,2022-11-21 09:15:00,NIFTY,2022-11-24,18250,PE,NIFTY22112418250PE,BUY,79.05,1,ENTRY
2022-11-21,2022-11-21 15:29:59,NIFTY,2022-11-24,18250,CE,NIFTY22112418250CE,SELL,54.2,1,SQUAREOFF
2022-11-21,2022-11-21 15:29:59,NIFTY,2022-11-24,18250,PE,NIFTY22112418250PE,SELL,112.1,1,SQUAREOFF
2022-11-21,2022-11-21 09:15:00,BANKNIFTY,2022-11-24,42400,CE,BANKNIFTY22112442400CE,BUY,260.45,1,ENTRY
2022-11-21,2022-11-21 09:15:00,BANKNIFTY,2022-11-24,42400,PE,BANKNIFTY22112442400PE,BUY,277.65,1,ENTRY
2022-11-21,2022-11-21 15:29:59,BANKNIFTY,2022-11-24,42400,CE,BANKNIFTY22112442400CE,SELL,202.0,1,SQUAREOFF
2022-11-21,2022-11-21 15:29:59,BANKNIFTY,2022-11-24,42400,PE,BANKNIFTY22112442400PE,SELL,225.25,1,SQUAREOFF
2022-11-22,2022-11-22 09:15:00,NIFTY,2022-11-24,18200,CE,NIFTY22112418200CE,BUY,82.9,1,ENTRY
2022-11-22,2022-11-22 09:15:00,NIFTY,2022-11-24,18200,PE,NIFTY22112418200PE,BUY,70.2,1,ENTRY
2022-11-22,2022-11-22 15:29:59,NIFTY,2022-11-24,18200,CE,NIFTY22112418200CE,SELL,118.5,1,SQUAREOFF
2022-11-22,2022-11-22 15:29:59,NIFTY,2022-11-24,18200,PE,NIFTY22112418200PE,SELL,27.2,1,SQUAREOFF
2022-11-22,2022-11-22 09:15:01,BANKNIFTY,2022-11-24,42400,CE,BANKNIFTY22112442400CE,BUY,222.25,1,ENTRY
2022-11-22,2022-11-22 09:15:01,BANKNIFTY,2022-11-24,42400,PE,BANKNIFTY22112442400PE,BUY,165.4,1,ENTRY
2022-11-22,2022-11-22 15:29:59,BANKNIFTY,2022-11-24,42400,CE,BANKNIFTY22112442400CE,SELL,214.8,1,SQUAREOFF
2022-11-22,2022-11-22 15:29:59,BANKNIFTY,2022-11-24,42400,PE,BANKNIFTY22112442400PE,SELL,108.0,1,SQUAREOFF
2022-11-23,2022-11-23 09:15:00,NIFTY,2022-11-24,18350,CE,NIFTY22112418350CE,BUY,42.1,1,ENTRY
2022-11-23,2022-11-23 09:15:00,NIFTY,2022-11-24,18350,PE,NIFTY22112418350PE,BUY,73.15,1,ENTRY
2022-11-23,2022-11-23 15:29:59,NIFTY,2022-11-24,18350,CE,NIFTY22112418350CE,SELL,12.0,1,SQUAREOFF
2022-11-23,2022-11-23 15:29:59,NIFTY,2022-11-24,18350,PE,NIFTY22112418350PE,SELL,92.6,1,SQUAREOFF
2022-11-23,2022-11-23 09:15:00,BANKNIFTY,2022-11-24,42600,CE,BANKNIFTY22112442600CE,BUY,152.55,1,ENTRY
2022-11-23,2022-11-23 09:15:00,BANKNIFTY,2022-11-24,42600,PE,BANKNIFTY22112442600PE,BUY,103.05,1,ENTRY
2022-11-23,2022-11-23 15:29:59,BANKNIFTY,2022-11-24,42600,CE,BANKNIFTY22112442600CE,SELL,177.5,1,SQUAREOFF
2022-11-23,2022-11-23 15:29:59,BANKNIFTY,2022-11-24,42600,PE,BANKNIFTY22112442600PE,SELL,72.0,1,SQUAREOFF
2022-11-24,2022-11-24 09:15:00,NIFTY,2022-11-24,18300,CE,NIFTY22112418300CE,BUY,42.45,1,ENTRY
2022-11-24,2022-11-24 09:15:00,NIFTY,2022-11-24,18300,PE,NIFTY22112418300PE,BUY,22.95,1,ENTRY
2022-11-24,2022-11-24 15:29:59,NIFTY,2022-11-24,18300,CE,NIFTY22112418300CE,SELL,184.2,1,SQUAREOFF
2022-11-24,2022-11-24 15:29:59,NIFTY,2022-11-24,18300,PE,NIFTY22112418300PE,SELL,0.05,1,SQUAREOFF
2022-11-24,2022-11-24 09:15:00,BANKNIFTY,2022-11-24,42800,CE,BANKNIFTY22112442800CE,BUY,81.25,1,ENTRY
2022-11-24,2022-11-24 09:15:00,BANKNIFTY,2022-11-24,42800,PE,BANKNIFTY22112442800PE,BUY,99.2,1,ENTRY
2022-11-24,2022-11-24 15:29:59,BANKNIFTY,2022-11-24,42800,CE,BANKNIFTY22112442800CE,SELL,275.0,1,SQUAREOFF
2022-11-24,2022-11-24 15:29:59,BANKNIFTY,2022-11-24,42800,PE,BANKNIFTY22112442800PE,SELL,0.05,1,SQUAREOFF
2022-11-25,2022-11-25 09:15:02,NIFTY,2022-12-01,18650,CE,NIFTY22120118650CE,BUY,50.15,1,ENTRY
2022-11-25,2022-11-25 09:15:02,NIFTY,2022-12-01,18650,PE,NIFTY22120118650PE,BUY,165.75,1,ENTRY
2022-11-25,2022-11-25 15:29:59,NIFTY,2022-12-01,18650,CE,NIFTY22120118650CE,SELL,35.8,1,SQUAREOFF
2022-11-25,2022-11-25 15:29:59,NIFTY,2022-12-01,18650,PE,NIFTY22120118650PE,SELL,156.0,1,SQUAREOFF
2022-11-25,2022-11-25 09:15:02,BANKNIFTY,2022-12-01,43300,CE,BANKNIFTY22120143300CE,BUY,180.05,1,ENTRY
2022-11-25,2022-11-25 09:15:02,BANKNIFTY,2022-12-01,43300,PE,BANKNIFTY22120143300PE,BUY,354.85,1,ENTRY
2022-11-25,2022-11-25 15:29:59,BANKNIFTY,2022-12-01,43300,CE,BANKNIFTY22120143300CE,SELL,135.2,1,SQUAREOFF
2022-11-25,2022-11-25 15:29:59,BANKNIFTY,2022-12-01,43300,PE,BANKNIFTY22120143300PE,SELL,370.0,1,SQUAREOFF
2022-11-28,2022-11-28 09:15:00,NIFTY,2022-12-01,18550,CE,NIFTY22120118550CE,BUY,36.95,1,ENTRY
2022-11-28,2022-11-28 09:15:00,NIFTY,2022-12-01,18550,PE,NIFTY22120118550PE,BUY,120.65,1,ENTRY
2022-11-28,2022-11-28 15:29:59,NIFTY,2022-12-01,18550,CE,NIFTY22120118550CE,SELL,87.0,1,SQUAREOFF
2022-11-28,2022-11-28 15:29:59,NIFTY,2022-12-01,18550,PE,NIFTY22120118550PE,SELL,66.85,1,SQUAREOFF
2022-11-28,2022-11-28 09:15:00,BANKNIFTY,2022-12-01,43100,CE,BANKNIFTY22120143100CE,BUY,149.0,1,ENTRY
2022-11-28,2022-11-28 09:15:00,BANKNIFTY,2022-12-01,43100,PE,BANKNIFTY22120143100PE,BUY,332.15,1,ENTRY
2022-11-28,2022-11-28 15:29:59,BANKNIFTY,2022-12-01,43100,CE,BANKNIFTY22120143100CE,SELL,175.0,1,SQUAREOFF
2022-11-28,2022-11-28 15:29:59,BANKNIFTY,2022-12-01,43100,PE,BANKNIFTY22120143100PE,SELL,240.0,1,SQUAREOFF
2022-11-29,2022-11-29 09:15:00,NIFTY,2022-12-01,18700,CE,NIFTY22120118700CE,BUY,23.45,1,ENTRY
2022-11-29,2022-11-29 09:15:00,NIFTY,2022-12-01,18700,PE,NIFTY22120118700PE,BUY,163.75,1,ENTRY
2022-11-29,2022-11-29 15:29:59,NIFTY,2022-12-01,18700,CE,NIFTY22120118700CE,SELL,23.6,1,SQUAREOFF
2022-11-29,2022-11-29 15:29:59,NIFTY,2022-12-01,18700,PE,NIFTY22120118700PE,SELL,107.0,1,SQUAREOFF
2022-11-29,2022-11-29 09:15:02,BANKNIFTY,2022-12-01,43200,CE,BANKNIFTY22120143200CE,BUY,119.0,1,ENTRY
2022-11-29,2022-11-29 09:15:02,BANKNIFTY,2022-12-01,43200,PE,BANKNIFTY22120143200PE,BUY,297.75,1,ENTRY
2022-11-29,2022-11-29 15:29:59,BANKNIFTY,2022-12-01,43200,CE,BANKNIFTY22120143200CE,SELL,121.55,1,SQUAREOFF
2022-11-29,2022-11-29 15:29:59,BANKNIFTY,2022-12-01,43200,PE,BANKNIFTY22120143200PE,SELL,228.8,1,SQUAREOFF
2022-11-30,2022-11-30 09:15:01,NIFTY,2022-12-01,18750,CE,NIFTY22120118750CE,BUY,14.0,1,ENTRY
2022-11-30,2022-11-30 09:15:01,NIFTY,2022-12-01,18750,PE,NIFTY22120118750PE,BUY,124.5,1,ENTRY
2022-11-30,2022-11-30 15:29:59,NIFTY,2022-12-01,18750,CE,NIFTY22120118750CE,SELL,57.9,1,SQUAREOFF
2022-11-30,2022-11-30 15:29:59,NIFTY,2022-12-01,18750,PE,NIFTY22120118750PE,SELL,33.5,1,SQUAREOFF
2022-11-30,2022-11-30 09:15:01,BANKNIFTY,2022-12-01,43300,CE,BANKNIFTY22120143300CE,BUY,82.6,1,ENTRY
2022-11-30,2022-11-30 09:15:01,BANKNIFTY,2022-12-01,43300,PE,BANKNIFTY22120143300PE,BUY,245.5,1,ENTRY
2022-11-30,2022-11-30 15:29:59,BANKNIFTY,2022-12-01,43300,CE,BANKNIFTY22120143300CE,SELL,106.0,1,SQUAREOFF
2022-11-30,2022-11-30 15:29:59,BANKNIFTY,2022-12-01,43300,PE,BANKNIFTY22120143300PE,SELL,127.0,1,SQUAREOFF
